order_item_id,order_id,product_id,quantity,unit_price
204,200,24,1,199.99
205,1,4,1,29.99
206,3,31,1,89.99
207,5,28,1,149.99
208,7,21,1,69.99
209,9,10,1,39.99
210,11,16,1,79.99
211,13,22,1,149.99
212,15,40,1,99.99
213,17,35,1,34.99
214,19,26,1,79.99
215,21,12,1,39.99
216,23,38,1,29.99
217,25,33,1,89.99
218,27,36,1,79.99
219,29,18,1,89.99
220,31,7,1,59.99
221,33,15,1,44.99
222,35,6,1,49.99
223,37,14,1,34.99
224,39,23,1,54.99
225,41,11,1,129.99
226,43,27,1,49.99
227,45,34,1,19.99
228,47,2,1,19.99
229,49,3,1,24.99
230,51,4,1,29.99
231,53,9,1,14.99
232,55,13,1,24.99
233,57,17,1,49.99
234,59,21,1,69.99
235,61,26,1,79.99
236,63,12,1,39.99
237,65,38,1,29.99
238,67,33,1,89.99
239,69,36,1,79.99
240,71,18,1,89.99
241,73,7,1,59.99
242,75,15,1,44.99
243,77,6,1,49.99
244,79,14,1,34.99
245,81,23,1,54.99
246,83,11,1,129.99
247,85,27,1,49.99
248,87,34,1,19.99
249,89,2,1,19.99
250,91,3,1,24.99
251,93,4,1,29.99
252,95,9,1,14.99
253,97,13,1,24.99
254,99,17,1,49.99
255,101,21,1,69.99
256,103,26,1,79.99
257,105,12,1,39.99
258,107,38,1,29.99
259,109,33,1,89.99
260,111,36,1,79.99
261,113,18,1,89.99
262,115,7,1,59.99
263,117,15,1,44.99
264,119,6,1,49.99
265,121,14,1,34.99
266,123,23,1,54.99
267,125,11,1,129.99
268,127,27,1,49.99
269,129,34,1,19.99
270,131,2,1,19.99
271,133,3,1,24.99
272,135,4,1,29.99
273,137,9,1,14.99
274,139,13,1,24.99
275,141,17,1,49.99
276,143,21,1,69.99
277,145,26,1,79.99
278,147,12,1,39.99
279,149,38,1,29.99
280,151,33,1,89.99
281,153,36,1,79.99
282,155,18,1,89.99
283,157,7,1,59.99
284,159,15,1,44.99
285,161,6,1,49.99
286,163,14,1,34.99
287,165,23,1,54.99
288,167,11,1,129.99
289,169,27,1,49.99
290,171,34,1,19.99
291,173,2,1,19.99
292,175,3,1,24.99
293,177,4,1,29.99
294,179,9,1,14.99
295,181,13,1,24.99
296,183,17,1,49.99
297,185,21,1,69.99
298,187,26,1,79.99
299,189,12,1,39.99
300,191,38,1,29.99
301,193,33,1,89.99
302,195,36,1,79.99
303,197,18,1,89.99
304,199,7,1,59.99
305,2,1,2,79.99
306,8,9,3,14.99
307,12,4,2,29.99
308,16,10,1,39.99
309,20,7,2,59.99
310,24,6,1,49.99
311,28,3,1,24.99
312,32,2,1,19.99
313,36,1,1,79.99
314,40,9,2,14.99
315,44,4,1,29.99
316,48,10,1,39.99
317,52,7,1,59.99
318,56,6,1,49.99
319,60,3,1,24.99
320,64,2,1,19.99
321,68,1,1,79.99
322,72,9,2,14.99
323,76,4,1,29.99
324,80,10,1,39.99
325,84,7,1,59.99
326,88,6,1,49.99
327,92,3,1,24.99
328,96,2,1,19.99
329,100,1,1,79.99
330,104,9,2,14.99
331,108,4,1,29.99
332,112,10,1,39.99
333,116,7,1,59.99
334,120,6,1,49.99
335,124,3,1,24.99
336,128,2,1,19.99
337,132,1,1,79.99
338,136,9,2,14.99
339,140,4,1,29.99
340,144,10,1,39.99
341,148,7,1,59.99
342,152,6,1,49.99
343,156,3,1,24.99
344,160,2,1,19.99
345,164,1,1,79.99
346,168,9,2,14.99
347,172,4,1,29.99
348,176,10,1,39.99
349,180,7,1,59.99
350,184,6,1,49.99
